iter	RMSE
0	14.52290404
1	14.10396182
2	13.63527641
3	13.20521857
4	12.79384387
5	12.43645236
6	12.09673294
7	11.73929671
8	11.40868033
9	11.09739065
10	10.78764794
11	10.51398012
12	10.23299497
13	9.985626189
14	9.725795485
15	9.492478252
16	9.280790733
17	9.063949459
18	8.877542804
19	8.678769832
20	8.493959925
21	8.299028695
22	8.130841151
23	7.969744359
24	7.821725163
25	7.68113046
26	7.544286713
27	7.408904806
28	7.282955563
29	7.158234667
30	7.042350341
31	6.946383436
32	6.84636232
33	6.753254266
34	6.65927702
35	6.572337157
36	6.494386286
37	6.419427618
38	6.344032357
39	6.275703216
40	6.207243926
41	6.144721689
42	6.081370904
43	6.035704462
44	5.974135549
45	5.922154899
46	5.879389724
47	5.833049604
48	5.790353062
49	5.746600382
50	5.702225663
51	5.657771627
52	5.624546176
53	5.58743645
54	5.556989337
55	5.523513676
56	5.493322963
57	5.478105338
58	5.448880285
59	5.423564547
60	5.396251631
61	5.36997341
62	5.346588939
63	5.326812178
64	5.30686885
65	5.28508086
66	5.259822183
67	5.239371415
68	5.218826053
69	5.19725613
70	5.179823308
71	5.161533382
72	5.145754437
73	5.136675573
74	5.122765642
75	5.108977703
76	5.093398761
77	5.077806732
78	5.063180511
79	5.043061603
80	5.029691716
81	5.020127738
82	4.999870151
83	4.98802387
84	4.977195284
85	4.967556531
86	4.954307485
87	4.942737017
88	4.932276761
89	4.918769933
90	4.90744041
91	4.897915795
92	4.884289663
93	4.877514788
94	4.868517523
95	4.857119342
96	4.847868525
97	4.83582248
98	4.825295352
99	4.815925894
100	4.805862404
101	4.793757926
102	4.792141726
103	4.785179176
104	4.772848101
105	4.771303678
106	4.762718444
107	4.75801105
108	4.751224728
109	4.742712745
110	4.738404735
111	4.733290432
112	4.725607254
113	4.719607399
114	4.717056397
115	4.705229807
116	4.692913712
117	4.686820869
118	4.679363326
119	4.672559766
120	4.657329278
121	4.647796303
122	4.638891631
123	4.629340957
124	4.619699525
125	4.612845962
126	4.604876994
127	4.599336645
128	4.591044958
129	4.580590302
130	4.57497898
131	4.559619082
132	4.549277446
133	4.539114746
134	4.533080669
135	4.524153884
136	4.51768982
137	4.502514954
138	4.495683528
139	4.49155295
140	4.484125735
141	4.477061952
142	4.469272507
143	4.463463236
144	4.455751944
145	4.450814174
146	4.445696264
147	4.442275931
148	4.4358659
149	4.427839696
150	4.420142802
151	4.412724724
152	4.406111662
153	4.399251228
154	4.390178215
155	4.38303917
156	4.374021726
157	4.366344997
158	4.360150349
159	4.353784188
160	4.347871215
161	4.340253441
162	4.33708389
163	4.331279147
164	4.323066763
165	4.31598373
166	4.308211698
167	4.30105074
168	4.290905214
169	4.285694647
170	4.280867731
171	4.275537582
172	4.270942915
173	4.268835966
174	4.26459828
175	4.260066337
176	4.255054803
177	4.248287101
178	4.240797966
179	4.235113262
180	4.232680745
181	4.226567143
182	4.221616947
183	4.215170514
184	4.212214196
185	4.198626304
186	4.193869843
187	4.187020591
188	4.178364207
189	4.171860631
190	4.166086269
191	4.160860785
192	4.159442914
193	4.158586243
194	4.148087876
195	4.13991527
196	4.135438607
197	4.132728941
198	4.131993202
199	4.128408244
